Category					Namespace 					
id	id_short	name	description	url	id	id_short	name	attributes	description	url
internet.ip	ip	IP Address	An Internet Protoocal address (IP address) is a numerical label a device connected to the Internet.	https://en.wikipedia.org/wiki/IP_address	iana.ip	address	IANA IP space	ip		
internet.ip.prefix	ip_prefix	Internet Protocol (IP) prefix	A series of consecutive IP addresses represented as a netmask X.X.X.X and a length /L (1.2.3.4/8).		network-length	net/len	IANA IP space	network		
								length		
internet.ip.block	ip_block	Internet Protocol (IP) block	A series of consecutive IP addresses with a first and last address.		iana.ip	start-end	IANA IP space	start end		
internet.ip.port	port	Internet Port		https://en.wikipedia.org/wiki/Port_(computer_networking))	iana.port	number	IANA IP Port	port		https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.txt
internet.ip.flow	flow	Internet IP Flow			flow_5_tuple	5 tuple	Flow 5 Tuple	source ip; source port; destination ip; destination port; protocal		
internet.asn	asn	Autonomous System (AS)			iana.asn	number	IANA ASN space	asn		https://www.iana.org/assignments/as-numbers/as-numbers.xhtml
internet.asn.name	asn.name	AS name			whois.asn.name	name	WHOIS AS name space	name		
internet.asn.link	asn.link	Autonomous System (AS) link			asn_pair	asn+asn	Pair of ASNs	asn0		
								asn1		
internet.asn.cone	asn.cone	AS cutomer cone			asn_list	iana.asn	ASN that identifies the custome cone	asn		
internet.asn.path	asn.path	Autonomous System (AS) path			asn_path	asns	Path of ASNs	asn_list		
					project-collector-peer-asn_list-prefix		ASN Path with project, collector, IP peer, ASN path, and peer IP 	project		
								collector		
								peer ip		
								asn list		
								prefix		
internet.ixp	ixp	Internet eXchange Point			caida.ixp_id	caida	CAIDA's IXP IDs	id		https://www.caida.org/catalog/datasets/ixps/
					pch.ixp_id	pch	Packetclearing House IXP ID	id		
					peeringdb.ixp_id	pdb	PeeringDB IXP ID	id		
internet.hostname	hostname	Internet hostname			doman_name_space	name	Doman Name Space 	name		
internet.router	router	Internet router	A computer which routers packets on the Internet.		caida.itdk.router_id	caida	CAIDA's ITDK router ID	id		
organization	org	organization			caida.org_id	caida	CAIDA org Id	id		
					whois.ir.org_name	whois	WHOIS Internet Registry organization name	name		
					rir.org_opaqueid	rir	WHOIS organization opaque ID	id		
					stock_market.stock_symbol	stock	Stock Market company stock symbols	symbol		https://en.wikipedia.org/wiki/Ticker_symbol
organization.rir	rir	Regional Internet Registry (RIR)			ir.rir_name	rir.name	Internet Regerstery organization name space	name		https://www.nro.net/about/rirs/the-internet-registry-system/
rc_project	rc_project	Route Collection Projects	Projects collecting BGP tables		rc_project.rcp_name	name	RCP names	name		
└ rc_project.bgp_collector	bgp_collector	RCP BGP Collector			rc_project.collector_name	name	RCP BGP Collector names	name		
location.coordindate	lat_lon	Latitude and Longitude			usdod.wgs84	wgs84	World Geodetic system (WGS84)	latitude		
								longitude		
location.airport	airport	Airports			iata.airport_alpha2	iata2	IATA airport code city	code		https://www.iata.org/en/publications/directories/code-search/
					icao.airport_alpha3	iata3	ICAO airport code city	code		https://www.iata.org/en/publications/directories/code-search/
location.address	address	Street Address			street_addresses	street		address city region country		
location.postal_code	postal	Postal Code 			postal_code	code		code		
location.city	city	City			geonames.city_name	geoname	Geonames City names	name		
					iata.alpha2	iata2	IATA airport codes city	code		https://www.iata.org/en/publications/directories/code-search/
					address-postal_code-city-region-country	street		code street city region country		
					netacuity.city_name	netac.name	Digital Element Netacuity city names	name		https://www.digitalelement.com/solutions/ip-location-targeting/
					netacuity.city_id	netac.id	Digital Element Netacuity unique id	id		https://www.digitalelement.com/solutions/ip-location-targeting/
					peeringdb.city_name	pf.name	PeeringDB city name	name		
location.region	region	Region			iso.region_alpha2	ios2		code		
location.country	country	Country			geonames.name	name	Geonames Country names	name		http://download.geonames.org/export/dump/
					iso.alpha2	iso2	ISO 3166-1 alpha-2	code		https://www.iso.org/iso-3166-country-codes.html
					iso.alpha3	iso3	ISO 3166-1 alpha-3	code	ISO 3166-1 alpha-2 codes are two-letter country codes defined in ISO 3166-1, part of the ISO 3166 standard[1] published by the International Organization for Standardization (ISO), to represent countries, dependent territories, and special areas of geographical interest. They	https://www.iso.org/iso-3166-country-codes.html
location.country.capital	capital	Country Capital			geonames.capital	name	Geonames Capital names	name		http://download.geonames.org/export/dump/
location.continent	continent	Continent			netacuity.continent_code	iso2	ICANN	code		
					geoname.name	name	Geonames Continent name	name		
language	language	Language			iana.alpha2	iana2	IETF language code	code		https://datatracker.ietf.org/wg/ltru/about//
					name	name	langauge name	name		
time	time	Time			unix.timestamp	unix	UNIX Timestamp	timestamp		
person	person	Person			usa.ssn	us_ssn	US Social Security Number	ssn		
					full_name	full_name	Full Name	family name; given name		
