# collection of redirection files
old_id, id, url, autoredirect
software:dzdb_api, dataset:dzdb, , true
dataset:skitter_internet_topology_data_kit, dataset:ark_itdk, , true
paper:2019_hypersparse_neural_network_analysis_of_large_scale_internet_traffic, paper:2019_hypersparse_neural_network_analysis, , true
dataset:skitter_macroscopic_topology_data, software:skitter, , true
dataset:as_relationships, dataset:as_relationships_serial_1, , true
paper:2019_learning_regexes_to_extract_router_names_from_hostnames, paper:2019_learning_regexes_extract_router, , true
dataset:ucsd_network_telescope, dataset:telescope_live, , true
paper:2019_studying_the_evolution_of_content_providers_in_ipv4_and_ipv6_internet_cores, paper:2019_studying_evolution_content_providers, , true
dataset:ipv6_aslinks, dataset:ark_ipv6_aslinks, , true
dataset:ipv4_routed_topology_aslinks, dataset:ark_itdk, , true
paper:2019_at_home_and_abroad_the_use_of_denial_of_service_attacks_during_elections_in_nondemocratic_regimes, paper:2019_at_home_abroad, , true
media:2019_network_hygiene_incentives_and_regulation_deployment_of_source_address_validation_in_the_internet, paper:2019_network_hygiene_incentives_regulation, , true
media:1998_Caida.june98, media:1998_caida_june98, , true
dataset:asrank, dataset:as_rank, , true
software:asrank_ui, dataset:as_rank, , true
media:1999_att_990315.ppt, media:1999_att_990315_ppt, , true
dataset:ipv4_routed_24_topology, dataset:ark_ipv4_traceroute, , true
paper:2001_DNSPerfMeas, paper:2001_dnsperfmeas, , true
paper:2013_named_data_networking_2012-2013, paper:2013_named_data_networking_2012_2013, , true
dataset:passive_equinix_nyc, , https://www.equinix.com, true
media:2019_geo-locating_bgp_prefixes_tma, media:2019_geo_locating_bgp_prefixes_tma, , true
paper:2019_profiling_bgp_serial_hijackers_capturing_persistent_misbehavior_in_the_global_routing_table, paper:2019_profiling_bgp_serial_hijackers, , true
media:2019_ioda-np_dhsst, media:2019_ioda_np_dhsst, , true
media:2014_dolphin_bulk_dns_resolution_tool, media:2014_dolphin_dhs, , true
dataset:spoofer, dataset:spoofer_data, , true
paper:2011_geocompare-tr, paper:2011_geocompare_tr, , true
media:2005_oida2005-06, media:2005_oida2005_06, , true
dataset:ipv6_dnsnames_dataset, dataset:ark_ipv6_dns_names, , true
paper:2019_blink_fast_connectivity_recovery_entirely_in_the_data_plane, paper:2019_blink, , true
paper:2018_policy_implications_third-party_measurement, paper:2018_policy_implications_third_party_measurement, , true
software:spoofer, collection:spoofer, , true
software:spoofer_api, collection:spoofer, , true
paper:2009_AS_evolution, paper:2009_as_evolution, , true
paper:2015_named_data_networking_2014-2015, paper:2015_named_data_networking_2014_2015, , true
paper:2019_chocolatine_outage_detection_for_internet_background_radiation, paper:2019_chocolatine, , true
dataset:bogons, , https://www.team-cymru.com/bogon-reference-http, true
paper:2004_tr-2004-02, paper:2004_tr_2004_02, , true
dataset:euro_ix_ixp_service_matrix, , https://www.euro-ix.net/en/, true
media:2005_pam-topology, media:2005_pam_topology, , true
paper:2003_dnsspectroscopy-full, paper:2003_dnsspectroscopy_full, , true
media:2006_wide2006-03_classification, media:2006_wide2006_03_classification, , true
paper:2012_topocompare-tr, paper:2012_topocompare_tr, , true
media:2000_Soa0005, media:2000_soa0005, , true
paper:2001_StreamsFlowsTorrents, paper:2001_streamsflowstorrents, , true
paper:1999_Nae, paper:1999_nae, , true
dataset:caida_ioda, software:ioda, , true
paper:2000_AIX0005, paper:2000_aix0005, , true
paper:2005_pam-topology, paper:2005_pam_topology, , true
dataset:as_prefix, dataset:routeviews_ipv6_prefix2as, , true
paper:2001_DNSMeasRoot, paper:2001_dnsmeasroot, , true
media:2007_nuggets2007-09, media:2007_nuggets2007_09, , true
media:1998_ISMA9808, media:1998_isma9808, , true
dataset:bgpmon, , https://www.bgpmon.net/, true
media:1999_ISMA9901_measspec, media:1999_isma9901_measspec, , true
paper:1998_fcc-98, paper:1998_fcc_98, , true
paper:1998_icp-sq, paper:1998_icp_sq, , true
paper:2001_BackScatter, paper:2001_backscatter, , true
