Author,Date,Title,Source,Vol.,No.,pp.,Category,URL
M. Maier; J. Ullrich,2022-08-17,In the Loop: A Measurement Study of Persistent Routing Loops on the Ipv4/Ipv6 Internet,Social Science Research Network,,,,Peer,
H. Birge-Lee; J. Wanner; G. H. Cimaszewski; J. Kwon; L. Wang; F. Wirz; P. Mittal; A. Perrig; Y. Sun,2022-08-10,Creating a Secure Underlay for the Internet,31st USENIX Security Symposium,,,,Conference,
J. Raynor; T. Crnovrsanin; S. Di Bartolomeo; L. South; D. Saffo; C. Dunne,2022-08-03,The State of the Art in BGP Visualization Tools: A Mapping of Visualization Techniques to Cyberattack Types,OSF Preprints,,,,Peer,
Y. Yoshinaka; J. Takemasa; Y. Koizumi; T. Hasegawaq,2022-08-03,Feasibility of Network-layer Anonymity Protocols at Terabit Speeds using a Programmable Switch,2022 IEEE 8th International Conference on Network Softwarization (NetSoft),,,,Conference Paper,
A. Altaweel; R. Stoleru; G. Gu; A. K. Maity; S. Bhunia,2022-07-24,On Detecting Route Hijacking Attack in Opportunistic Mobile Networks,IEEE Transactions on Dependable and Secure Computing,,,,Conference Paper,
K. Z. Sediqi; L. Prehn; O. Gasser,2022-07-20,Hyper-specific prefixes: gotta enjoy the little things in interdomain routing,ACM SIGCOMM Computer Communication Review,52,2,20-34,Conference Paper,
P. Cong; Y. Zhang; B. Liu; W. Wang; Z. Xiong; K. Xu,2022-07-18,A&B: AI and Block-Based TCAM Entries Replacement Scheme for Routers,IEEE Journal on Selected Areas in Communications,40,9,,Conference Paper,
Z. Luo; J. Liu; G. Yang; Y. Zhang; Z. Hang,2022-07-14,High-Speed Path Probing Method for Large-Scale Network,Sensors,22,15,,Peer,
B. Zhou; Y. Lv; J. Wang; J. Zhang; Q. Xuan,2022-07-13,Attacking the Core Structure of Complex Network,IEEE Transactions on Computational Social Systems,,,,Conference Peer,
P. Podili; S. R. Cherupally; S. Boga; K. Kataoka,2022-07-02,Inter-Domain Prefix and Route Validation Using Fast and Scalable DAG Based Distributed Ledger for Secure BGP Routing,Journal of Network and Systems Management,,,,Peer,
M. Sosnowski; J. Zirngibl; P. Sattler; G. Carle; C. Gorhnfeldt; M. Russo; D. Sgandurra,2022-06-27,Active TLS Stack Fingerprinting: Characterizing TLS Server Deployments at Scale,Cornell University,,,,Peer,
M. Syamkumar; Y. Gullapalli; W. Tang; P. Barford; J. Sommers,2022-06-20,BigBen: Telemetry Processing for Internet-wide Event Monitoring,IEEE Transactions on Network and Service Management,,,,Conference,
Q. Wang; Y. Tian; X. Yu; L. Ding; X. Zhang,2022-06-13,Where is the Traffic Going? a Comparative Study of Clouds Following Different Designs,IEEE Transactions on Services Computing,,,1-12,Conference Paper,
G. Baltra; H. Heidmann,2022-06-11,What Is The Internet? (Considering Partial Connectivity),Cornell University,,,,Peer,
S. Zhuang; J. H. Wang; J. Wang; C. An; Y. Xu; T. Wu,2022-06-09,Predicting Unseen Links Using Learning-based Matrix Completion,NOMS 2022-2022 IEEE/IFIP Network Operations and Management Symposium,,,,Conference Paper,
J. Li; V. Giotsas; Y. Wang; S. Zhou,2022-05-24,BGP-Multipath Routing in the Internet,IEEE Transactions on Network and Service Management ( Early Access ),,,,Peer,
Q. Lone; A. Frik; M. Luckie; M. Korczynski; M. van Eeten; C. Ganan,2022-05-22,Deployment of Source Address Validation by Network Operators: A Randomized Control Trial,2022 IEEE Symposium on Security and Privacy (SP),,,,Conference Paper,
F. Vaca-Ramirez; T. P. Peixoto,2022-05-18,Systematic assessment of the quality of fit of the stochastic block model for empirical networks,,,,,Peer,
L. Chuat; M. Legner; D. Basin; D. Hausheer; S. Hitz; P. Muller; A. Perrig,2022-05-17,Functional Properties and Scalability,The Complete Guide to SCION,,,129-156,Peer,
L. Chuat; M. Legner; D. Basin; D. Hausheer; S. Hitz; P. Muller; A. Perrig,2022-05-17,SCIONLAB Research Testbed,The Complete Guide to SCION,,,,Peer,
V. Padurean; O. Gasser; R. Bush; A. Feldmann,2022-05-09,SRv6: Is There Anybody Out There?,7th International Workshop on Traffic Measurements for Cybersecurity (WTMC 2022),,,,Conference Paper,
Y. Li; H. Zou; Y. Chen; Y. Xu; Z. Ma; D. Ma; Y. Hu; G. Xie,2022-05-02,The Hanging ROA: A Secure and Scalable Encoding Scheme for Route Origin Authorization,,,,,Conference Paper,
KC Claffy; D. Clark,2022-05-01,Challenges in Measuring the Internet for the Public Interest,Journal of Information Policy,,,,Peer,
S. Mustafa; P. K. Dey; M. Yuksel,2022-04-25,Peer Me Maybe?: A Data-Centric Approach to ISP Peer Selection,NOMS 2022-2022 IEEE/IFIP Network Operations and Management Symposium,,,,Conference Paper,
