lat,long
39.6772,-95.4247
43.6522,-94.4611
40.3728,-105.5192
39.55,-107.3167
40.113,-88.2612
44.8547,-93.4708
37.9314,-107.8565
42.8667,-106.3125
44.8167,-91.5
44.8167,-91.5
44.8167,-91.5
44.3867,-89.8231
46.3581,-94.2008
47.5324,-92.6235
40.3141,-112.0069
44.1936,-85.2134
37.9214,-83.2596
37.576,-82.633
41.1278,-81.6098
29.6516,-82.3248
46.1449,-115.9779
38.8462,-77.3063
40.1573,-76.3069
34.05,-118.25
49.095,-117.71
40.36,-74.24
52.3753,-114.9217
40.7269,-73.6497
45.45,-73.8167
45.5017,-73.5673
44.4047,-72.9903
45.3058,-73.2545
47.6249,-122.521
45.2806,-66.0761
17.9833,-76.8
17.9683,-76.7827
32.382,-64.677
21.4675,-71.1389
18.5425,-72.3386
18.5425,-72.3386
18.5425,-72.3386
46.7758,-56.1806
18.3333,-64.9167
18.3333,-64.9167
17.75,-64.75
17.75,-64.75
10.6427,-71.6125
12.1507,-68.2767
17.3,-62.7333
17.1274,-61.8468
16.27,-61.58
14.6,-61.0
10.6667,-61.5167
10.6667,-61.5167
10.266,-61.3764
2.8235,-60.6759
21.3069,-157.8583
-7.517,-63.0299
-11.7251,-62.3132
-2.9382,-48.9511
-12.5558,-60.903
57.1526,-2.11
54.974,-1.6132
53.48,-2.24
53.48,-2.24
53.48,-2.24
53.9255,-1.8228
53.9583,-1.0803
53.2301,-1.2801
53.2301,-1.2801
51.8569,-2.24
52.9548,-1.1581
-6.3404,-47.3961
38.9172,-97.2139
36.3956,-97.8784
38.8794,-99.3223
35.9609,-95.8783
41.2565,-95.9345
33.9924,-96.3971
32.7766,-96.7969
38.8339,-104.8208
38.8339,-104.8208
37.9415,-104.929
43.5364,-96.7317
39.7392,-104.9903
35.8411,-90.6796
37.4694,-105.87
39.0123,-89.7912
42.7037,-92.2254
42.2986,-91.0149
43.8727,-93.3013
40.7208,-89.6094
42.8539,-91.4054
37.0722,-88.6275
44.0762,-103.2283
45.1258,-94.5283
40.1106,-88.2073
29.9055,-96.8766
34.2479,-88.9987
43.0667,-89.4
43.0667,-89.4
39.0667,-108.5667
35.5479,-87.552
43.7814,-89.5726
38.1711,-86.8092
46.8772,-96.7898
31.6904,-106.4245
31.7333,-106.475
31.7333,-106.475
31.7333,-106.475
37.8403,-85.9491
46.2079,-91.2933
44.7972,-106.9562
48.5775,-96.5206
49.1801,-97.9389
40.6808,-112.2631
39.9612,-82.9988
37.8298,-82.8421
49.8833,-97.15
49.8833,-97.15
49.8833,-97.15
49.8833,-97.15
49.8833,-97.15
49.8833,-97.15
49.8833,-97.15
49.8951,-97.1384
42.2833,-83.0
48.3809,-89.2477
42.133,-82.75
35.5799,-82.5558
36.6111,-82.1762
35.3206,-82.4617
38.3472,-81.6333
45.7762,-111.1771
41.4822,-81.6697
36.7889,-114.1431
51.15,-100.0497
43.4214,-81.6258
50.4547,-104.6067
50.4547,-104.6067
42.9837,-81.2497
42.9837,-81.2497
44.0688,-81.5914
36.1346,-80.6595
43.5658,-80.9222
43.9692,-80.9792
43.4667,-80.5167
43.45,-80.4833
43.45,-80.4833
33.1071,-98.5895
36.0584,-90.4973
36.2681,-89.9109
43.2841,-92.8191
41.8848,-88.204
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
41.8369,-87.6847
46.7767,-88.4961
35.1992,-111.6311
34.7732,-80.3917
43.0896,-79.0849
21.8853,-102.2916
21.8842,-102.2911
21.8842,-102.2911
40.8025,-76.8631
21.2475,-102.3317
12.1364,-86.2514
12.1364,-86.2514
12.1364,-86.2514
12.1364,-86.2514
12.1364,-86.2514
12.115,-86.2362
19.4792,-70.6931
19.4501,-70.7001
61.3293,-149.568
61.2183,-149.8991
61.2183,-149.8991
1.8798,-76.2707
10.6411,-61.4506
10.5,-61.3833
10.5,-61.3833
10.432,-61.4494
10.266,-61.3764
10.3042,-61.1708
-1.9466,-54.7388
-1.0624,-46.7834
-13.7215,-59.2605
-5.7754,-47.4799
-3.9765,-44.888
-8.1774,-49.4466
-7.1908,-48.2069
-7.1908,-48.2069
-23.6509,-70.3975
-23.6509,-70.3975
63.8258,20.263
-12.0,-49.0
52.0705,4.3007
-13.2735,-50.1638
-13.2735,-50.1638
36.7473,-95.9808
35.9326,-95.1413
43.1436,-93.3788
30.2147,-93.2086
46.8772,-96.7898
46.8772,-96.7894
46.8083,-100.7837
43.5525,-87.9603
47.45,-99.1239
48.1167,-98.8667
40.5678,-84.1936
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
40.75,-111.8833
36.7674,-76.2874
46.6021,-120.5059
44.5365,-122.907
51.1605,71.4704
58.3833,-134.1833
58.3833,-134.1833
60.5424,-145.7525
64.0378,-145.7322
59.6431,-151.5258
63.6667,22.7
59.4833,18.3
59.3294,18.0686
60.8076,21.4027
55.5833,13.0333
-19.3903,-54.5594
31.6295,-7.9811
53.4333,14.5333
49.4521,11.0767
54.5894,18.4817
62.0333,129.7333
62.0333,129.7333
14.6962,-17.4442
53.7559,19.2045
50.3536,17.8641
52.2323,21.0084
36.7598,3.0138
48.8849,18.0335
49.3616,18.7352
48.9618,18.171
49.1131,18.4477
48.1485,17.1067
48.1485,17.1067
48.1485,17.1067
48.1485,17.1067
48.1485,17.1067
48.1485,17.1067
50.0614,19.9383
50.0614,19.9383
50.0614,19.9383
50.0614,19.9383
50.0614,19.9383
50.0614,19.9383
50.0614,19.9383
48.5842,17.8336
48.3775,17.5883
20.6381,-103.348
20.6719,-103.4165
20.6719,-103.4165
20.6719,-103.4165
20.6719,-103.4165
20.6719,-103.4165
10.3916,-84.4383
-3.8349,-50.6373
-5.35,-49.1167
-6.0682,-49.9042
-6.4969,-49.8778
-6.4969,-49.8778
-5.8248,-46.1595
38.88,-6.97
62.4363,22.1875
-4.1732,-38.4609
64.225,27.7333
-6.8863,-38.5614
-19.0663,-51.5571
-21.611,-55.1683
56.5117,21.0139
-8.5793,-36.178
-20.88,-48.8089
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
-10.9472,-37.0731
51.15,19.6022
-21.275,-47.3014
52.7333,23.5833
-20.1851,-44.7711
-20.1851,-44.7711
-17.0389,-39.5297
50.55,22.7
-23.3555,-46.8786
-22.4258,-45.4528
-22.4258,-45.4528
-28.2413,-53.7707
-30.7573,-57.9916
46.1818,18.9543
46.1818,18.9543
-22.0607,-42.0541
-29.4669,-51.9608
-29.4669,-51.9608
-29.4669,-51.9608
43.5123,18.2448
43.5123,18.2448
43.5123,18.2448
43.5123,18.2448
42.7476,20.7892
32.763,12.7365
7.1164,171.1858
38.5367,68.78
38.5367,68.78
37.9681,-91.3549
38.4819,-90.7414
30.3883,-95.6963
43.7633,-91.5685
30.3161,-95.4589
33.1576,-105.7742
37.2753,-107.8794
30.05,-95.1845
32.2989,-90.1847
30.3525,-89.1597
43.0161,-86.1267
33.1732,-86.2516
32.464,-86.4597
42.7335,-84.5467
28.6322,-106.0708
37.3372,-82.9811
30.4201,-86.617
25.7799,-100.1853
31.3011,-110.9381
25.55,-103.4667
33.9815,-81.2362
29.0833,-110.95
30.3194,-81.66
30.3194,-81.66
24.8,-107.3833
24.8,-107.3833
22.2331,-97.8611
22.7709,-102.5832
52.1397,-106.6861
39.0516,-77.4832
37.32,-77.25
42.5236,-77.2891
34.0633,-117.6509
32.7153,-117.1564
21.5123,-103.4083
21.1166,-101.6833
