lat,long,weight
39.6772,-95.4247,1
43.6522,-94.4611,1
40.3728,-105.5192,1
39.55,-107.3167,1
40.113,-88.2612,1
44.8547,-93.4708,1
37.9314,-107.8565,1
42.8667,-106.3125,3
44.8167,-91.5,3
41.3672,-87.4383,1
44.3867,-89.8231,1
46.3581,-94.2008,1
47.5324,-92.6235,1
39.6264,-111.4396,1
40.3141,-112.0069,1
44.1936,-85.2134,1
37.9214,-83.2596,1
37.576,-82.633,1
29.6516,-82.3248,2
38.8462,-77.3063,1
40.1573,-76.3069,1
34.05,-118.25,34
49.095,-117.71,1
40.36,-74.24,1
52.3753,-114.9217,1
40.7269,-73.6497,1
45.45,-73.8167,1
45.5017,-73.5673,15
44.4047,-72.9903,1
45.3058,-73.2545,2
47.6249,-122.521,1
42.2079,-71.004,1
45.2806,-66.0761,2
17.9833,-76.8,1
17.9683,-76.7827,1
32.382,-64.677,1
21.4675,-71.1389,1
18.5425,-72.3386,3
46.7758,-56.1806,1
18.3333,-64.9167,2
17.75,-64.75,1
10.6427,-71.6125,10
12.1507,-68.2767,2
17.3,-62.7333,2
17.1274,-61.8468,4
16.27,-61.58,1
14.6,-61.0,2
-0.9677,-80.7089,2
10.6667,-61.5167,2
10.266,-61.3764,2
2.8235,-60.6759,8
21.3069,-157.8583,5
-7.517,-63.0299,1
-11.7251,-62.3132,1
-2.9382,-48.9511,2
57.1526,-2.11,1
54.974,-1.6132,2
53.48,-2.24,8
53.9255,-1.8228,1
53.796,-1.7594,3
53.9583,-1.0803,2
53.2301,-1.2801,4
51.8569,-2.24,2
52.9548,-1.1581,2
-6.3404,-47.3961,1
38.9172,-97.2139,1
38.8794,-99.3223,2
35.9609,-95.8783,1
40.8106,-96.6803,5
33.9924,-96.3971,1
38.8339,-104.8208,4
37.9415,-104.929,1
43.5364,-96.7317,4
35.8411,-90.6796,3
37.4694,-105.87,1
39.0123,-89.7912,1
42.7037,-92.2254,1
42.2986,-91.0149,1
43.8727,-93.3013,1
40.7208,-89.6094,2
42.8539,-91.4054,1
37.0722,-88.6275,1
44.0762,-103.2283,4
45.1258,-94.5283,1
40.1106,-88.2073,1
29.9055,-96.8766,1
34.2479,-88.9987,1
29.7604,-95.3698,2
43.0667,-89.4,7
39.0667,-108.5667,2
35.5479,-87.552,1
43.7814,-89.5726,1
38.1711,-86.8092,1
46.8772,-96.7898,6
31.7333,-106.475,6
37.8403,-85.9491,1
46.2079,-91.2933,1
44.7972,-106.9562,1
48.5775,-96.5206,1
40.6461,-111.498,2
49.1801,-97.9389,1
40.6808,-112.2631,1
39.9612,-82.9988,2
37.8298,-82.8421,1
40.5492,-82.8274,1
49.8833,-97.15,11
49.8951,-97.1384,1
49.8333,-99.95,2
42.2833,-83.0,3
48.3809,-89.2477,3
42.133,-82.75,1
35.5799,-82.5558,3
36.6111,-82.1762,1
35.3206,-82.4617,1
38.3472,-81.6333,2
45.7762,-111.1771,1
41.4822,-81.6697,4
36.7889,-114.1431,1
51.15,-100.0497,1
43.4214,-81.6258,1
50.4547,-104.6067,3
42.9837,-81.2497,2
44.0688,-81.5914,1
36.1346,-80.6595,1
43.5658,-80.9222,1
43.9692,-80.9792,1
43.4667,-80.5167,5
43.45,-80.4833,5
33.1071,-98.5895,1
36.0584,-90.4973,1
36.2681,-89.9109,1
43.2841,-92.8191,1
41.8848,-88.204,1
41.8369,-87.6847,20
46.7767,-88.4961,1
35.1992,-111.6311,1
34.7732,-80.3917,1
43.0896,-79.0849,1
21.8853,-102.2916,1
21.8842,-102.2911,5
40.8025,-76.8631,1
21.2475,-102.3317,1
12.1364,-86.2514,5
12.115,-86.2362,2
19.4792,-70.6931,2
19.4501,-70.7001,10
61.3293,-149.568,1
61.2183,-149.8991,3
10.6411,-61.4506,1
10.5,-61.3833,3
10.432,-61.4494,1
10.3042,-61.1708,1
-1.9466,-54.7388,1
-1.0624,-46.7834,2
-13.7215,-59.2605,2
-5.6484,-48.1194,1
-5.7754,-47.4799,1
-3.9765,-44.888,1
-8.1774,-49.4466,2
-7.1908,-48.2069,5
-23.6509,-70.3975,2
-14.0475,-52.1594,1
63.8258,20.263,2
-12.0,-49.0,1
59.5667,150.8,1
52.0705,4.3007,1
-13.2735,-50.1638,2
36.7473,-95.9808,1
35.9326,-95.1413,1
43.1436,-93.3788,1
30.2147,-93.2086,1
46.8772,-96.7894,2
46.8083,-100.7837,2
43.5525,-87.9603,1
47.45,-99.1239,1
48.1167,-98.8667,1
40.5678,-84.1936,1
40.75,-111.8833,13
45.039,-79.3079,1
36.7674,-76.2874,1
46.6021,-120.5059,1
44.5365,-122.907,1
51.1605,71.4704,5
58.3833,-134.1833,2
60.5424,-145.7525,1
64.0378,-145.7322,1
59.6431,-151.5258,1
63.6667,22.7,1
59.4833,18.3,1
59.3294,18.0686,10
60.8076,21.4027,1
55.5833,13.0333,5
-19.3903,-54.5594,1
31.6295,-7.9811,1
53.4333,14.5333,5
49.4521,11.0767,1
18.0783,-15.9744,3
54.5894,18.4817,1
62.0333,129.7333,6
14.6962,-17.4442,3
53.7559,19.2045,1
50.3536,17.8641,1
52.2323,21.0084,16
36.7598,3.0138,1
48.8849,18.0335,1
49.3616,18.7352,1
48.9618,18.171,1
49.1131,18.4477,1
48.1485,17.1067,9
50.0614,19.9383,11
48.5842,17.8336,1
49.2194,18.7408,2
48.3775,17.5883,1
20.6381,-103.348,2
20.6719,-103.4165,9
10.3916,-84.4383,2
-2.5835,-49.5047,1
-3.8349,-50.6373,1
-5.35,-49.1167,5
-6.0682,-49.9042,8
-6.4969,-49.8778,2
-5.8248,-46.1595,3
38.88,-6.97,1
62.4363,22.1875,1
-4.1732,-38.4609,2
64.225,27.7333,1
-6.8863,-38.5614,1
-19.0663,-51.5571,1
-21.611,-55.1683,3
56.5117,21.0139,2
-8.5793,-36.178,1
-20.88,-48.8089,1
-10.9472,-37.0731,22
51.15,19.6022,1
-21.275,-47.3014,1
52.7333,23.5833,1
-20.1851,-44.7711,1
47.9944,17.6194,1
-17.0389,-39.5297,2
50.55,22.7,1
-23.3555,-46.8786,1
-22.4258,-45.4528,3
-28.2413,-53.7707,1
-30.7573,-57.9916,1
