lat,long,weight
39.6772,-95.4247,1
43.6522,-94.4611,1
40.3728,-105.5192,1
39.55,-107.3167,1
40.113,-88.2612,1
44.8547,-93.4708,1
37.9314,-107.8565,1
42.8667,-106.3125,3
44.8167,-91.5,3
41.3672,-87.4383,1
44.3867,-89.8231,1
46.3581,-94.2008,1
47.5324,-92.6235,1
39.6264,-111.4396,1
40.3141,-112.0069,1
44.1936,-85.2134,1
37.9214,-83.2596,1
37.576,-82.633,1
29.6516,-82.3248,2
38.8462,-77.3063,1
40.1573,-76.3069,1
34.05,-118.25,34
40.36,-74.24,1
40.7269,-73.6497,1
44.4047,-72.9903,1
47.6249,-122.521,1
42.2079,-71.004,1
21.3069,-157.8583,5
38.9172,-97.2139,1
38.8794,-99.3223,2
35.9609,-95.8783,1
40.8106,-96.6803,5
33.9924,-96.3971,1
38.8339,-104.8208,4
37.9415,-104.929,1
43.5364,-96.7317,4
35.8411,-90.6796,3
37.4694,-105.87,1
39.0123,-89.7912,1
42.7037,-92.2254,1
42.2986,-91.0149,1
43.8727,-93.3013,1
40.7208,-89.6094,2
42.8539,-91.4054,1
37.0722,-88.6275,1
44.0762,-103.2283,4
45.1258,-94.5283,1
40.1106,-88.2073,1
29.9055,-96.8766,1
34.2479,-88.9987,1
29.7604,-95.3698,2
43.0667,-89.4,7
39.0667,-108.5667,2
35.5479,-87.552,1
43.7814,-89.5726,1
38.1711,-86.8092,1
46.8772,-96.7898,6
37.8403,-85.9491,1
46.2079,-91.2933,1
44.7972,-106.9562,1
48.5775,-96.5206,1
40.6461,-111.498,2
40.6808,-112.2631,1
39.9612,-82.9988,2
37.8298,-82.8421,1
40.5492,-82.8274,1
35.5799,-82.5558,3
36.6111,-82.1762,1
35.3206,-82.4617,1
38.3472,-81.6333,2
45.7762,-111.1771,1
41.4822,-81.6697,4
36.7889,-114.1431,1
36.1346,-80.6595,1
33.1071,-98.5895,1
36.0584,-90.4973,1
36.2681,-89.9109,1
43.2841,-92.8191,1
41.8848,-88.204,1
41.8369,-87.6847,20
46.7767,-88.4961,1
35.1992,-111.6311,1
34.7732,-80.3917,1
40.8025,-76.8631,1
61.3293,-149.568,1
61.2183,-149.8991,3
36.7473,-95.9808,1
35.9326,-95.1413,1
43.1436,-93.3788,1
30.2147,-93.2086,1
46.8772,-96.7894,2
46.8083,-100.7837,2
43.5525,-87.9603,1
47.45,-99.1239,1
48.1167,-98.8667,1
40.5678,-84.1936,1
40.75,-111.8833,13
36.7674,-76.2874,1
46.6021,-120.5059,1
44.5365,-122.907,1
58.3833,-134.1833,2
60.5424,-145.7525,1
64.0378,-145.7322,1
59.6431,-151.5258,1
37.9681,-91.3549,1
38.4819,-90.7414,1
30.3883,-95.6963,2
43.7633,-91.5685,1
30.3161,-95.4589,2
33.1576,-105.7742,1
37.2753,-107.8794,1
30.05,-95.1845,1
32.2989,-90.1847,2
35.5281,-108.7426,1
30.3525,-89.1597,1
43.0161,-86.1267,2
33.1732,-86.2516,1
32.464,-86.4597,1
42.7335,-84.5467,2
37.3372,-82.9811,1
30.4201,-86.617,1
42.3223,-83.1763,1
33.9815,-81.2362,1
30.3194,-81.66,2
39.0516,-77.4832,14
37.32,-77.25,3
34.0633,-117.6509,1
32.7153,-117.1564,7
43.0469,-76.1444,2
38.5556,-121.4689,2
40.7895,-74.0565,2
25.7878,-80.2242,23
45.2082,-122.0669,1
47.6062,-122.3321,13
30.2139,-92.0294,1
36.5256,-86.0261,2
42.7249,-110.9319,1
40.6884,-75.2207,1
36.3712,-91.8226,1
40.2503,-103.8,1
42.21,-76.49,1
39.4628,-98.1094,1
37.8281,-92.1777,1
35.7698,-91.641,1
32.45,-99.75,3
38.627,-90.1994,4
41.8264,-103.6578,1
38.7701,-88.524,1
33.1843,-90.4893,1
45.4647,-98.4865,3
34.3181,-86.4958,1
34.8687,-85.8394,1
35.0751,-83.2101,1
35.9186,-82.2975,1
34.1786,-82.3792,2
27.9506,-82.4572,7
40.5549,-74.4643,1
40.7127,-74.0059,18
42.2257,-73.7429,1
35.4675,-97.5164,2
39.9417,-94.8302,1
41.25,-96.0,5
38.075,-104.9867,1
38.1981,-88.6845,1
35.3619,-86.2094,1
43.8167,-111.7833,2
43.4918,-112.0325,3
31.9576,-110.9556,1
30.4517,-84.2685,4
36.2083,-115.9839,1
38.6547,-96.1737,1
36.2929,-95.1533,1
40.2659,-96.7467,1
40.5863,-98.3899,1
40.7745,-97.0506,1
40.9264,-98.342,1
35.4581,-94.7944,1
35.4368,-94.3483,1
33.9345,-96.4286,1
40.2686,-92.9533,1
41.5908,-93.6208,5
32.7828,-96.8039,2
32.7766,-96.7969,12
34.1822,-103.3386,1
43.1451,-95.1443,1
32.554,-94.3745,1
43.5947,-96.572,1
39.7392,-104.9903,14
41.8666,-103.6672,1
42.5349,-92.4453,1
42.2589,-90.4258,1
32.8422,-104.4028,1
40.5142,-88.9906,1
35.1107,-106.61,4
45.4475,-98.0987,1
44.9133,-93.5031,7
32.8995,-105.9603,1
45.63,-94.57,1
46.0031,-98.5231,1
34.1423,-87.9886,1
39.5148,-86.7939,1
46.9233,-98.0032,1
30.2272,-90.9197,1
36.9959,-85.9119,1
33.2098,-87.5692,1
34.537,-86.3944,1
33.5248,-86.8127,2
33.9482,-86.4728,1
34.1742,-86.1227,1
42.3833,-85.9592,1
33.6623,-85.8301,1
41.2931,-84.7619,1
40.643,-111.2807,1
32.3668,-86.3,1
39.2019,-96.3047,1
40.8672,-98.003,1
35.2219,-101.8308,3
34.7361,-92.3311,3
41.3114,-105.5911,1
30.7235,-95.5508,1
39.1331,-88.472,1
30.0774,-99.2403,1
41.9889,-88.6868,1
45.5728,-93.2244,1
46.5944,-95.5722,1
43.3997,-88.5326,1
30.5044,-90.4656,2
41.7001,-86.2379,1
39.5075,-84.7467,1
38.0297,-84.4947,5
40.2444,-111.6608,1
33.7483,-84.3911,19
41.6656,-83.5753,1
45.2167,-85.0139,1
43.4696,-111.9666,2
35.2269,-80.8433,3
46.2483,-114.1597,1
35.9886,-78.9072,1
42.0986,-75.9183,1
34.2164,-119.0376,1
40.0583,-74.4057,1
44.6698,-74.9813,2
42.2234,-121.7776,1
